 Désignation,Réf CCL,UV,Rapport,Écoparticipation
"Fers plat 10x3 longueur 6m/6,20m","70853","KG","1.535"
"Fers plat 12x4 longueur 6m/6,20m","70857","KG","2.387"
"Fers plat 12x5 longueur 6m/6,20m","70858","KG","3.008"
"Fers plat 12x6 longueur 6m/6,20m","70859","KG","4.2435"
"Fers plat 14x4 longueur 6m/6,20m","70861","KG","3"
"Fers plat 14x5 longueur 6m/6,20m","70862","KG","4"
"Fers plat 14x6 longueur 6m/6,20m","70863","KG","4.5"
"Fers plat 14x6 longueur 6m/6,20m","70863","KG","4.5","0.01"
"Fers plat 14x8 longueur 6m/6,20m","70864","KG","5.682","0.01"
"Fers plat 16x3 longueur 6m/6,20m","70865","KG","2.43",""
"Fers plat 16x4 longueur 6m/6,20m","70866","KG","3.198","0.01"
"Fers plat 16x5 longueur 6m/6,20m","70867","KG","4.059","0.01"
"Fers plat 16x6 longueur 6m/6,20m","70868","KG","4.797","0.01"
"Fers plat 16x8 longueur 6m/6,20m","70869","KG","6.398","0.01"
"Fers plat 18x4 longueur 6m/6,20m","70871","KG","",""
"Fers plat 18x5 longueur 6m/6,20m","70872","KG","4.4777","0.01"
"Fers plat 20x3 longueur 6m/6,20m","70876","KG","3.006","0.01"
"Fers plat 20x4 longueur 6m/6,20m","70877","KG","4.059","0.01"
"Fers plat 20x5 longueur 6m/6,20m","70878","KG","4.989","0.01"
"Fers plat 20x6 longueur 6m/6,20m","70879","KG","6.012","0.01"
"Fers plat 20x8 longueur 6m/6,20m","70880","KG","7.995","0.02"
"Fers plat 20x10 longueur 6m/6,20m","70881","KG","10.042","0.02"
"Fers plat 20x12 longueur 6m/6,20m","70882","KG","12.024","0.02"
"Fers plat 25x3 longueur 6m/6,20m","70886","KG","3.774","0.01"
"Fers plat 25x4 longueur 6m/6,20m","70887","KG","4.989","0.01"
"Fers plat 25x5 longueur 6m/6,20m","70888","KG","6.268","0.01"
"Fers plat 25x6 longueur 6m/6,20m","70889","KG","7.547","0.02"
"Fers plat 25x8 longueur 6m/6,20m","70890","KG","10.042","0.02"
"Fers plat 25x10 longueur 6m/6,20m","70891","KG","12.536","0.03"
"Fers plat 25x12 longueur 6m/6,20m","70892","KG","15.031","0.03"
"Fers plat 30x3 longueur 6m/6,20m","70896","KG","4.477","0.01"
"Fers plat 30x4 longueur 6m/6,20m","70897","KG","6.012","0.01"
"Fers plat 30x5 longueur 6m/6,20m","70898","KG","7.547","0.02"
"Fers plat 30x6 longueur 6m/6,20m","70899","KG","9.018","0.02"
"Fers plat 30x8 longueur 6m/6,20m","70900","KG","12.024","0.02"
"Fers plat 30x10 longueur 6m/6,20m","70901","KG","15.095","0.03"
"Fers plat 30x12 longueur 6m/6,20m","70902","KG","18.101","0.04"
"Fers plat 30x15 longueur 6m/6,20m","70904","KG","22.578","0.05"
"Fers plat 30x20 longueur 6m/6,20m","70906","KG","30.125","0.06"
"Fers plat 35x3 longueur 6m/6,20m","70907","KG","5.245","0.01"
"Fers plat 35x4 longueur 6m/6,20m","70908","KG","7.036","0.01"
"Fers plat 35x5 longueur 6m/6,20m","70909","KG","8.763","0.02"
"Fers plat 35x6 longueur 6m/6,20m","70910","KG","10.553","0.02"
"Fers plat 35x8 longueur 6m/6,20m","70911","KG","14.071","0.03"
"Fers plat 35x10 longueur 6m/6,20m","70912","KG","17.589","0.04"
"Fers plat 35x12 longueur 6m/6,20m","70913","KG","21.107","0.04"
"Fers plat 35x15 longueur 6m/6,20m","70915","KG","26.352","0.05"
"Fers plat 35x20 longueur 6m/6,20m","70917","KG","35.178","0.07"
"Fers plat 40x3 longueur 6m/6,20m","70918","KG","6.012","0.01"
"Fers plat 40x4 longueur 6m/6,20m","70919","KG","7.995","0.02"
"Fers plat 40x5 longueur 6m/6,20m","70920","KG","10.042","0.02"
"Fers plat 40x6 longueur 6m/6,20m","70921","KG","12.024","0.02"
"Fers plat 40x8 longueur 6m/6,20m","70923","KG","16.054","0.03"
"Fers plat 40x10 longueur 6m/6,20m","70924","KG","20.083","0.04"
"Fers plat 40x12 longueur 6m/6,20m","70925","KG","24.113","0.05"
"Fers plat 40x15 longueur 6m/6,20m","70927","KG","30.125","0.06"
"Fers plat 40x20 longueur 6m/6,20m","70929","KG","40.167","0.08"
"Fers plat 40x25 longueur 6m/6,20m","70930","KG","",""
"Fers plat 45x5 longueur 6m/6,20m","70932","KG","11.257","0.02"
"Fers plat 45x8 longueur 6m/6,20m","70934","KG","18.037","0.04"
"Fers plat 45x10 longueur 6m/6,20m","70935","KG","22.578","0.05"
"Fers plat 50x3 longueur 6m/6,20m","70937","KG","7.547","0.02"
"Fers plat 50x4 longueur 6m/6,20m","70938","KG","10.042","0.02"
"Fers plat 50x5 longueur 6m/6,20m","70939","KG","12.536","0.03"
"Fers plat 50x6 longueur 6m/6,20m","70940","KG","15.095","0.03"
"Fers plat 50x8 longueur 6m/6,20m","70941","KG","20.083","0.04"
"Fers plat 50x10 longueur 6m/6,20m","70942","KG","25.136","0.05"
"Fers plat 50x12 longueur 6m/6,20m","70943","KG","30.125","0.06"
"Fers plat 50x15 longueur 6m/6,20m","70946","KG","37.672","0.08"
"Fers plat 50x20 longueur 6m/6,20m","70947","KG","50.209","0.10"
"Fers plat 50x30 longueur 6m/6,20m","70949","KG","75.473","0.15"
"Fers plat 60x4 longueur 6m/6,20m","70951","KG","12.024","0.02"
"Fers plat 60x5 longueur 6m/6,20m","70952","KG","15.095","0.03"
"Fers plat 60x6 longueur 6m/6,20m","70953","KG","18.101","0.04"
"Fers plat 60x8 longueur 6m/6,20m","70954","KG","24.113","0.05"
"Fers plat 60x10 longueur 6m/6,20m","70955","KG","30.125","0.06"
"Fers plat 60x12 longueur 6m/6,20m","70956","KG","36.137","0.07"
"Fers plat 60x15 longueur 6m/6,20m","70958","KG","45.22","0.09"
"Fers plat 60x20 longueur 6m/6,20m","70960","KG","60.25","0.12"
"Fers plat 60x30 longueur 6m/6,20m","70962","KG","90.184","0.18"
"Fers plat 70x5 longueur 6m/6,20m","70963","KG","17.589","0.04"
"Fers plat 70x6 longueur 6m/6,20m","70964","KG","21.107","0.04"
"Fers plat 70x8 longueur 6m/6,20m","70965","KG","28.142","0.06"
"Fers plat 70x10 longueur 6m/6,20m","70966","KG","35.178","0.07"
"Fers plat 70x12 longueur 6m/6,20m","70967","KG","42.214","0.08"
"Fers plat 70x15 longueur 6m/6,20m","70969","KG","53.703","0.11"
"Fers plat 70x20 longueur 6m/6,20m","70971","KG","70.356","0.14"
"Fers plat 80x5 longueur 6m/6,20m","70974","KG","20.083","0.04"
"Fers plat 80x6 longueur 6m/6,20m","70975","KG","24.113","0.05"
"Fers plat 80x8 longueur 6m/6,20m","70976","KG","32.108","0.06"
"Fers plat 80x10 longueur 6m/6,20m","70977","KG","40.167","0.08"
"Fers plat 80x12 longueur 6m/6,20m","70978","KG","48.226","0.10"
"Fers plat 80x15 longueur 6m/6,20m","70980","KG","60.25","0.12"
"Fers plat 80x20 longueur 6m/6,20m","70982","KG","80.334","0.16"
"Fers plat 80x25 longueur 6m/6,20m","70983","KG","100.417","0.20"
"Fers plat 90x8 longueur 6m/6,20m","70986","KG","36.137","0.07"
"Fers plat 90x10 longueur 6m/6,20m","70987","KG","45.156","0.09"
"Fers plat 100x5 longueur 6m/6,20m","70989","KG","25.072","0.05"
"Fers plat 100x6 longueur 6m/6,20m","70990","KG","30.125","0.06"
"Fers plat 100x8 longueur 6m/6,20m","70991","KG","40.167","0.08"
"Fers plat 100x10 longueur 6m/6,20m","70992","KG","50.209","0.10"
"Fers plat 100x12 longueur 6m/6,20m","70993","KG","60.25","0.12"
"Fers plat 100x15 longueur 6m/6,20m","70994","KG","75.473","0.15"
"Fers plat 100x20 longueur 6m/6,20m","70995","KG","100.417","0.20"
"Fers plat 110x8 longueur 6m/6,20m","70997","KG","44.2","0.09"
"Fers plat 110x10 longueur 6m/6,20m","70998","KG","55.281","0.11"
"Fers plat 120x5 longueur 6m/6,20m","70999","KG","30.125","0.06"
"Fers plat 120x6 longueur 6m/6,20m","71000","KG","37","0.07"
"Fers plat 120x8 longueur 6m/6,20m","71001","KG","48.228","0.10"
"Fers plat 120x10 longueur 6m/6,20m","71002","KG","60.25","0.12"
"Fers plat 120x12 longueur 6m/6,20m","71003","KG","72.275","0.14"
"Fers plat 120x15 longueur 6m/6,20m","71004","KG","90.375","0.18"
"Fers plat 120x20 longueur 6m/6,20m","71005","KG","120.501","1.13"
"Fers plat 140x6 longueur 6m/6,20m","71006","KG","42.214","0.08"
"Fers plat 140x8 longueur 6m/6,20m","71007","KG","56.221","0.11"
"Fers plat 140x10 longueur 6m/6,20m","71008","KG","70.292","0.14"
"Fers plat 140x12 longueur 6m/6,20m","71009","KG","84.427","0.17"
"Fers plat 140x15 longueur 6m/6,20m","71010","KG","105.534","0.21"
"Fers plat 140x20 longueur 6m/6,20m","71011","KG","140.712","0.28"
"Fers plat 150x5 longueur 6m/6,20m","71012","KG","37.672","0.08"
"Fers plat 150x6 longueur 6m/6,20m","71013","KG","45.22","0.09"
"Fers plat 150x8 longueur 6m/6,20m","71014","KG","60.25","0.12"
"Fers plat 150x10 longueur 6m/6,20m","71015","KG","75.345","0.15"
"Fers plat 150x15 longueur 6m/6,20m","71017","KG","112.953","0.23"
"Fers plat 150x20 longueur 6m/6,20m","71018","KG","146.52","0.29"
"PLAT 12X3","70856","KG","1.791","0"
"PLAT 16X10","70870","KG","","0"
"PLAT 20X15","70884","KG","15.095","0.03"
"PLAT 25X15","70894","KG","18.804","0.04"
"PLAT 45X6","70933","KG","13.58","0.03"
"PLAT 50X25","70948","KG","62.745","0.13"
"PLAT 60X25","70961","KG","","0"
"PLAT 70X30","70973","KG","105.534","0.21"
"PLAT 100X40","70996","KG","202.766","0.41"
