"default_code","name","length","width","height","diameter","thickness","unite_vente","kg_par_barre","kg_par_metre","prix_net_ht","eco_part_ht"
"IPE100-6M","Poutrelle IPE 100",6,55,100,,4.1,"KG",51.386,8.564,48.82,0.11
"IPE100-12M","Poutrelle IPE 100",12,55,100,,4.1,"KG",101.93,8.494,96.83,0.21
"IPE120-6M","Poutrelle IPE 120",6,64,120,,4.4,"KG",65.978,10.996,62.68,0.14
"IPE120-12M","Poutrelle IPE 120",12,64,120,,4.4,"KG",130.874,10.906,124.33,0.28
"IPE140-6M","Poutrelle IPE 140",6,73,140,,4.7,"KG",81.838,13.639,81.02,0.17
"IPE140-12M","Poutrelle IPE 140",12,73,140,,4.7,"KG",162.334,13.528,159.09,0.34
"IPE160-6M","Poutrelle IPE 160",6,82,160,,5,"KG",100.235,16.705,98.23,0.20
"IPE160-12M","Poutrelle IPE 160",12,82,160,,5,"KG",198.827,16.569,196.84,0.40
"IPE180-6M","Poutrelle IPE 180",6,91,180,,5.3,"KG",119.267,19.878,180.09,0.23
"IPE180-12M","Poutrelle IPE 180",12,91,180,,5.3,"KG",236.579,19.715,234.21,0.46
"IPE200-6M","Poutrelle IPE 200",6,100,200,,5.6,"KG",142.106,23.684,160.58,0.27
"IPE200-12M","Poutrelle IPE 200",12,100,200,,5.6,"KG",281.882,23.490,279.06,0.54
"IPE220-6M","Poutrelle IPE 220",6,110,220,,5.9,"KG",166.213,27.702,164.55,0.31
"IPE220-12M","Poutrelle IPE 220",12,110,220,,5.9,"KG",329.701,27.475,326.40,0.62
"IPE240-6M","Poutrelle IPE 240",6,120,240,,6.2,"KG",194.761,32.460,200.60,0.36
"IPE240-12M","Poutrelle IPE 240",12,120,240,,6.2,"KG",386.329,32.194,397.92,0.72
"IPE270-6M","Poutrelle IPE 270",6,135,270,,6.6,"KG",229.018,38.170,235.89,0.42
"IPE270-12M","Poutrelle IPE 270",12,135,270,,6.6,"KG",454.282,37.856,467.91,0.84
"IPE300-6M","Poutrelle IPE 300",6,150,300,,7.1,"KG",267.717,44.619,275.75,0.48
