default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71648,Tube carré 20x20x2 mm,0.02,0.02,6.15,0.002,ML,6.15,1.455,Tube
71649,Tube carré 25x25x2 mm,0.025,0.025,6.15,0.002,ML,6.15,1.773,Tube
71651,Tube carré 30x30x2 mm,0.03,0.03,6.15,0.002,ML,6.15,2.153,Tube
71653,Tube carré 35x35x2 mm,0.035,0.035,6.15,0.002,ML,6.15,2.623,Tube
71655,Tube carré 40x40x2 mm,0.04,0.04,6.15,0.002,ML,6.15,2.922,Tube
71657,Tube carré 45x45x2 mm,0.045,0.045,6.15,0.002,ML,6.15,3.485,Tube
71659,Tube carré 50x50x2 mm,0.05,0.05,6.15,0.002,ML,6.15,3.803,Tube
71661,Tube carré 60x60x2 mm,0.06,0.06,6.15,0.002,ML,6.15,4.510,Tube
71663,Tube carré 70x70x2 mm,0.07,0.07,6.15,0.002,ML,6.15,5.853,Tube
71664,Tube carré 80x80x2 mm,0.08,0.08,6.15,0.002,ML,6.15,6.088,Tube
379459,Tube carré 100x100x2 mm,0.1,0.1,6.15,0.002,ML,6.15,7.822,Tube

71714,Tube carré 30x30x3 mm,0.03,0.03,6.15,0.003,ML,6.15,2.890,Tube
71715,Tube carré 40x40x3 mm,0.04,0.04,6.15,0.003,ML,6.15,3.865,Tube
71717,Tube carré 50x50x3 mm,0.05,0.05,6.15,0.003,ML,6.15,4.972,Tube
71719,Tube carré 60x60x3 mm,0.06,0.06,6.15,0.003,ML,6.15,6.120,Tube
71721,Tube carré 70x70x3 mm,0.07,0.07,6.15,0.003,ML,6.15,7.298,Tube
71723,Tube carré 80x80x3 mm,0.08,0.08,6.15,0.003,ML,6.15,8.303,Tube
312662,Tube carré 90x90x3 mm,0.09,0.09,6.15,0.003,ML,6.15,9.543,Tube
71727,Tube carré 100x100x3 mm,0.1,0.1,6.15,0.003,ML,6.15,22.898,Tube
71729,Tube carré 120x120x3 mm,0.12,0.12,6.15,0.003,ML,6.15,12.853,Tube
71730,Tube carré 150x150x3 mm,0.15,0.15,6.15,0.003,ML,6.15,17.087,Tube
71731,Tube carré 200x200x3 mm,0.2,0.2,6.15,0.003,ML,6.15,42.312,Tube
