default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
863180,ETIRÉS RONDS DIAMÈTRE 05,,,1.8,,KG,1.8,2.97,Barre
863179,ETIRÉS RONDS DIAMÈTRE 06,,,1.92,,KG,1.92,3.3,Barre
863181,ETIRÉS RONDS DIAMÈTRE 08,,,2.7,,KG,2.7,4.46,Barre
863182,ETIRÉS RONDS DIAMÈTRE 10,,,4.2,,KG,4.2,6.93,Barre
863183,ETIRÉS RONDS DIAMÈTRE 12,,,5.7,,KG,5.7,9.41,Barre
863184,ETIRÉS RONDS DIAMÈTRE 14,,,7.8,,KG,7.8,12.87,Barre
863185,ETIRÉS RONDS DIAMÈTRE 15,,,9.6,,KG,9.6,15.84,Barre
863186,ETIRÉS RONDS DIAMÈTRE 16,,,10.2,,KG,10.2,16.83,Barre
863187,ETIRÉS RONDS DIAMÈTRE 18,,,12.84,,KG,12.84,21.19,Barre
863188,ETIRÉS RONDS DIAMÈTRE 19,,,14.1,,KG,14.1,23.27,Barre
863189,ETIRÉS RONDS DIAMÈTRE 20,,,17.76,,KG,17.76,29.3,Barre
863190,ETIRÉS RONDS DIAMÈTRE 22,,,19.2,,KG,19.2,31.68,Barre
863191,ETIRÉS RONDS DIAMÈTRE 24,,,22.8,,KG,22.8,37.62,Barre
863192,ETIRÉS RONDS DIAMÈTRE 25,,,23.4,,KG,23.4,38.61,Barre
863194,ETIRÉS RONDS DIAMÈTRE 28,,,31.5,,KG,31.5,51.98,Barre
863195,ETIRÉS RONDS DIAMÈTRE 30,,,36.0,,KG,36.0,59.4,Barre
863197,ETIRÉS RONDS DIAMÈTRE 35,,,48.6,,KG,48.6,80.19,Barre
863198,ETIRÉS RONDS DIAMÈTRE 45,,,80.4,,KG,80.4,132.66,Barre
863199,ETIRÉS RONDS DIAMÈTRE 50,,,99.0,,KG,99.0,166.32,Barre
863201,ETIRÉS RONDS DIAMÈTRE 70,,,193.8,,KG,193.8,343.03,Barre
863193,ETIRÉS RONDS DIAMÈTRE 26,,,26.0,,KG,25.5,102.0,Barre
863196,ETIRÉS RONDS DIAMÈTRE 32,,,32.0,,KG,40.8,122.4,Barre
