default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70793,CARRE PLEIN DE 6,6,6,6,,KG,1.791,1.95,Barre
70794,CARRÉ PLEIN DE 08,8,8,6,,KG,3.211,4.01,Barre
70795,CARRÉ PLEIN DE 10,10,10,6,,KG,4.989,5.79,Barre
70796,CARRÉ PLEIN DE 12,12,12,6,,KG,7.227,8.17,Barre
70797,CARRÉ PLEIN DE 14,14,14,6,,KG,9.85,10.15,Barre
70798,CARRÉ PLEIN DE 16,16,16,6,,KG,12.856,13.24,Barre
70799,CARRÉ PLEIN DE 18,18,18,6,,KG,16.246,16.73,Barre
70800,CARRÉ PLEIN DE 20,20,20,6,,KG,20.083,20.69,Barre
70801,CARRÉ PLEIN DE 22,22,22,6,,KG,24.305,25.03,Barre
70802,CARRÉ PLEIN DE 25,25,25,6,,KG,31.404,32.35,Barre
70803,CARRÉ PLEIN DE 30,30,30,6,,KG,45.22,46.58,Barre
70804,CARRÉ PLEIN DE 35,35,35,6,,KG,61.53,63.38,Barre
70805,CARRÉ PLEIN DE 40,40,40,6,,KG,80.59,83.01,Barre
70806,CARRÉ PLEIN DE 50,50,50,6,,KG,125.49,136.78,Barre
70807,CARRE PLEIN DE 60,60,60,6,,KG,181.007,226.26,Barre
