default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70809,"CORNIÈRE À AILES ÉGALES 15X15X3/6,20M",0.015,0.015,6.0,0.003,KG,4.413,5.3,Barre
70811,"CORNIÈRE À AILES ÉGALES 20X20X3/6,20M",0.02,0.02,6.0,0.003,KG,5.628,7.94,Barre
70812,"CORNIÈRE À AILES ÉGALES 25X25X3/6,20M",0.025,0.025,6.0,0.003,KG,7.164,7.95,Barre
70813,"CORNIÈRE À AILES ÉGALES 30X30X3/6,20M",0.03,0.03,6.0,0.003,KG,8.699,9.57,Barre
70814,"CORNIÈRE À AILES ÉGALES 35X35X3,5/6,20M",0.035,0.035,6.0,0.0035,KG,11.833,13.02,Barre
70815,"CORNIÈRE À AILES ÉGALES 40X40X4/6,20M",0.04,0.04,6.0,0.004,KG,15.478,16.1,Barre
70817,"CORNIÈRE À AILES ÉGALES 45X45X4,5/6,20M",0.045,0.045,6.0,0.0045,KG,19.152,19.73,Barre
70818,"CORNIÈRE À AILES ÉGALES 50X50X5/6,20M",0.05,0.05,6.0,0.005,KG,24.113,24.84,Barre
70820,"CORNIÈRE À AILES ÉGALES 60X60X6/6,20M",0.06,0.06,6.0,0.006,KG,34.666,35.71,Barre
70821,"CORNIÈRE À AILES ÉGALES 70X70X7/6,20M",0.07,0.07,6.0,0.007,KG,47.202,53.81,Barre
70822,"CORNIÈRE À AILES ÉGALES 80X80X8/6,20M",0.08,0.08,6.0,0.008,KG,61.785,63.64,Barre
70823,"CORNIÈRE À AILES ÉGALES 100X100X10/6,20M",0.1,0.1,6.0,0.01,KG,96.58,99.48,Barre
70824,"CORNIÈRE À AILES ÉGALES 120X120X12/6,20M",0.12,0.12,6.0,0.012,KG,138.154,169.93,Barre
