default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71111,"POUTRELLE HEA 100/6,20M",,,6.0,,KG,105.945,121.84,Barre
71112,"POUTRELLE HEA 100/12,20M",,,12.0,,KG,211.67,226.49,Barre
71114,"POUTRELLE HEA 120/6,20M",,,6.0,,KG,126.246,131.3,Barre
71115,"POUTRELLE HEA 120/12,20M",,,12.0,,KG,250.422,262.94,Barre
71117,"POUTRELLE HEA 140/6,20M",,,6.0,,KG,156.697,175.5,Barre
71118,"POUTRELLE HEA 140/12,20M",,,12.0,,KG,310.825,348.12,Barre
71120,"POUTRELLE HEA 160/6,20M",,,6.0,,KG,192.858,216.0,Barre
71121,"POUTRELLE HEA 160/12,20M",,,12.0,,KG,382.554,390.21,Barre
71124,"POUTRELLE HEA 180/12,20M",,,12.0,,KG,446.732,504.81,Barre
71126,"POUTRELLE HEA 200/6,20M",,,6.0,,KG,268.351,292.5,Barre
71127,"POUTRELLE HEA 200/12,20M",,,12.0,,KG,532.303,564.24,Barre
