default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71128,POUTRELLE HEB 100 COUPÉ À LONGUEUR,,,1.0,,KG,1.0,23.73,Barre
71129,"POUTRELLE HEB 100/12,20M",,,12.0,,KG,214.282,242.14,Barre
71130,POUTRELLE HEB 120 COUPÉ À LONGUEUR,,,1.0,,KG,1.0,31.63,Barre
71131,"POUTRELLE HEB 120/12,20M",,,12.0,,KG,335.993,379.67,Barre
71132,POUTRELLE HEB 140 COUPÉ À LONGUEUR,,,1.0,,KG,1.0,39.91,Barre
71133,"POUTRELLE HEB 140/12,20M",,,12.0,,KG,424.081,487.69,Barre
71134,POUTRELLE HEB 160 COUPÉ À LONGUEUR,,,1.0,,KG,1.0,50.49,Barre
71135,"POUTRELLE HEB 160/12,20M",,,12.0,,KG,536.078,616.49,Barre
71136,POUTRELLE HEB 180 COUPÉ À LONGUEUR,,,1.0,,KG,1.0,60.61,Barre
71138,POUTRELLE HEB 200 COUPÉ À LONGUEUR,,,1.0,,KG,1.0,73.2,Barre
