default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71056,"POUTRELLE IPE 100",,,6.0,,KG,51.386,51.39,Barre
71057,"POUTRELLE IPE 120",,,6.0,,KG,65.978,65.98,Barre
71061,"POUTRELLE IPE 140",,,6.0,,KG,81.838,81.84,Barre
71063,"POUTRELLE IPE 160",,,6.0,,KG,100.235,111.26,Barre
71065,"POUTRELLE IPE 180",,,6.0,,KG,119.267,133.58,Barre
71067,"POUTRELLE IPE 200",,,6.0,,KG,142.106,160.58,Barre
71069,"POUTRELLE IPE 220",,,6.0,,KG,166.213,184.5,Barre
71071,"POUTRELLE IPE 240",,,6.0,,KG,194.761,231.77,Barre
71073,"POUTRELLE IPE 270",,,6.0,,KG,229.018,258.79,Barre
71075,"POUTRELLE IPE 300",,,6.0,,KG,267.717,307.88,Barre
