default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70853,"FERS PLAT 10X3/6,20M",,,6.0,,KG,1.535,2.23,Barre
70857,"FERS PLAT 12X4/6,20M",,,6.0,,KG,2.387,3.46,Barre
70858,"FERS PLAT 12X5/6,20M",,,6.0,,KG,3.008,4.36,Barre
70859,"FERS PLAT 12X6/6,20M",,,6.0,,KG,4.2435,6.15,Barre
70861,"FERS PLAT 14X4/6,20M",,,6.0,,KG,3.0,4.35,Barre
70862,"FERS PLAT 14X5/6,20M",,,6.0,,KG,4.0,5.8,Barre
70863,"FERS PLAT 14X6/6,20M",,,6.0,,KG,4.5,6.53,Barre
70864,"FERS PLAT 14X8/6,20M",,,6.0,,KG,5.682,8.24,Barre
70865,"FERS PLAT 16X3/6,20M",,,6.0,,KG,2.43,3.52,Barre
70866,"FERS PLAT 16X4/6,20M",,,6.0,,KG,3.198,5.41,Barre
70867,"FERS PLAT 16X5/6,20M",,,6.0,,KG,4.059,5.89,Barre
70868,"FERS PLAT 16X6/6,20M",,,6.0,,KG,4.797,7.92,Barre
70869,"FERS PLAT 16X8/6,20M",,,6.0,,KG,6.398,11.45,Barre
70871,"FERS PLAT 18X4/6,20M",,,6.0,,KG,1.0,1.45,Barre
70872,"FERS PLAT 18X5/6,20M",,,6.0,,KG,4.4777,6.49,Barre
70876,"FERS PLAT 20X3/6,20M",,,6.0,,KG,3.006,3.97,Barre
70877,"FERS PLAT 20X4/6,20M",,,6.0,,KG,4.059,5.16,Barre
70878,"FERS PLAT 20X5/6,20M",,,6.0,,KG,4.989,6.34,Barre
70879,"FERS PLAT 20X6/6,20M",,,6.0,,KG,6.012,7.64,Barre
70880,"FERS PLAT 20X8/6,20M",,,6.0,,KG,7.995,10.15,Barre
70881,"FERS PLAT 20X10/6,20M",,,6.0,,KG,10.042,10.44,Barre
70882,"FERS PLAT 20X12/6,20M",,,6.0,,KG,12.024,15.27,Barre
70886,"FERS PLAT 25X3/6,20M",,,6.0,,KG,3.774,4.79,Barre
70887,"FERS PLAT 25X4/6,20M",,,6.0,,KG,4.989,6.34,Barre
70888,"FERS PLAT 25X5/6,20M",,,6.0,,KG,6.268,7.96,Barre
70889,"FERS PLAT 25X6/6,20M",,,6.0,,KG,7.547,9.59,Barre
70890,"FERS PLAT 25X8/6,20M",,,6.0,,KG,10.042,12.75,Barre
70891,"FERS PLAT 25X10/6,20M",,,6.0,,KG,12.536,14.92,Barre
70892,"FERS PLAT 25X12/6,20M",,,6.0,,KG,15.031,18.04,Barre
70896,"FERS PLAT 30X3/6,20M",,,6.0,,KG,4.477,5.69,Barre
70897,"FERS PLAT 30X4/6,20M",,,6.0,,KG,6.012,7.64,Barre
70898,"FERS PLAT 30X5/6,20M",,,6.0,,KG,7.547,9.59,Barre
70899,"FERS PLAT 30X6/6,20M",,,6.0,,KG,9.018,9.02,Barre
70900,"FERS PLAT 30X8/6,20M",,,6.0,,KG,12.024,12.02,Barre
70901,"FERS PLAT 30X10/6,20M",,,6.0,,KG,15.095,13.74,Barre
70902,"FERS PLAT 30X12/6,20M",,,6.0,,KG,18.101,18.83,Barre
70904,"FERS PLAT 30X15/6,20M",,,6.0,,KG,22.578,20.55,Barre
70906,"FERS PLAT 30X20/6,20M",,,6.0,,KG,30.125,31.33,Barre
70907,"FERS PLAT 35X3/6,20M",,,6.0,,KG,5.245,5.87,Barre
70908,"FERS PLAT 35X4/6,20M",,,6.0,,KG,7.036,7.81,Barre
70909,"FERS PLAT 35X5/6,20M",,,6.0,,KG,8.763,9.11,Barre
70910,"FERS PLAT 35X6/6,20M",,,6.0,,KG,10.553,10.98,Barre
70911,"FERS PLAT 35X8/6,20M",,,6.0,,KG,14.071,14.63,Barre
70912,"FERS PLAT 35X10/6,20M",,,6.0,,KG,17.589,18.29,Barre
70913,"FERS PLAT 35X12/6,20M",,,6.0,,KG,21.107,22.58,Barre
70915,"FERS PLAT 35X15/6,20M",,,6.0,,KG,26.352,30.83,Barre
70917,"FERS PLAT 35X20/6,20M",,,6.0,,KG,35.178,41.16,Barre
70918,"FERS PLAT 40X3/6,20M",,,6.0,,KG,6.012,7.7,Barre
70919,"FERS PLAT 40X4/6,20M",,,6.0,,KG,7.995,9.59,Barre
70920,"FERS PLAT 40X5/6,20M",,,6.0,,KG,10.042,10.14,Barre
70921,"FERS PLAT 40X6/6,20M",,,6.0,,KG,12.024,12.87,Barre
70923,"FERS PLAT 40X8/6,20M",,,6.0,,KG,16.054,15.41,Barre
70924,"FERS PLAT 40X10/6,20M",,,6.0,,KG,20.083,19.28,Barre
70925,"FERS PLAT 40X12/6,20M",,,6.0,,KG,24.113,24.11,Barre
70927,"FERS PLAT 40X15/6,20M",,,6.0,,KG,30.125,28.92,Barre
70929,"FERS PLAT 40X20/6,20M",,,6.0,,KG,40.167,38.56,Barre
70930,"FERS PLAT 40X25/6,20M",,,6.0,,KG,1.0,1.16,Barre
70932,"FERS PLAT 45X5/6,20M",,,6.0,,KG,11.257,11.26,Barre
70934,"FERS PLAT 45X8/6,20M",,,6.0,,KG,18.037,20.74,Barre
70935,"FERS PLAT 45X10/6,20M",,,6.0,,KG,22.578,22.58,Barre
70937,"FERS PLAT 50X3/6,20M",,,6.0,,KG,7.547,8.0,Barre
70938,"FERS PLAT 50X4/6,20M",,,6.0,,KG,10.042,10.95,Barre
