default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71472,20X20X20X2 U373,0.02,0.02,6.0,0.02,ML,6.0,1.31,PROFIL 
71477,20X40X20X2 U381,0.02,0.04,6.0,0.02,ML,6.0,1.8,PROFIL 
71479,25X25X25X2 U530,0.025,0.025,6.0,0.025,ML,6.0,1.75,PROFIL 
71481,30X11X30X2 U5421,0.03,0.011,6.0,0.03,ML,6.0,1.39,PROFIL 
71475,30X30X30X2 U340,0.03,0.03,6.0,0.03,ML,6.0,1.76,PROFIL 
71483,30X50X30X3 U563,0.03,0.05,6.0,0.03,ML,6.0,3.35,PROFIL 
71485,30X60X30X3 U362,0.03,0.06,6.0,0.03,ML,6.0,2.75,PROFIL 
449720,35X22X35X2 U331,0.035,0.022,6.0,0.035,ML,6.0,2.01,PROFIL 
151935,"35X35X35X2,5 U415",0.035,0.035,6.0,0.035,ML,6.0,4.65,PROFIL 
151936,40X40X40X3 U673,0.04,0.04,6.0,0.04,ML,6.0,3.25,PROFIL 
145531,40X80X40X3 U427,0.04,0.08,6.1,0.04,ML,6.0,10.42,PROFIL 
71492,40X80X40X4,0.04,0.08,5.2,0.04,ML,6.0,5.469,PROFIL 
151939,50X50X50X3 U473,0.05,0.05,6.0,0.05,ML,6.0,9.8,PROFIL 
145534,50X100X50X3 U464,0.05,0.1,6.1,0.05,ML,6.0,6.361,PROFIL 
