default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70735,ROND SERRURIER EN BARRES S235/S275 D 08,,,6.0,,KG,2.494,3.07,Barre
70736,ROND SERRURIER EN BARRES S235/S275 D 10,,,6.0,,KG,3.966,4.32,Barre
70737,ROND SERRURIER EN BARRES S235/S275 D 12,,,6.0,,KG,5.692,6.2,Barre
70738,ROND SERRURIER EN BARRES S235/S275 D 14,,,6.0,,KG,7.739,8.05,Barre
70739,ROND SERRURIER EN BARRES S235/S275 D 16,,,6.0,,KG,10.203,10.51,Barre
70740,ROND SERRURIER EN BARRES S235/S275 D 18,,,6.0,,KG,12.792,13.18,Barre
70741,ROND SERRURIER EN BARRES S235/S275 D 20,,,6.0,,KG,15.798,16.27,Barre
70742,ROND SERRURIER EN BARRES S235/S275 D 22,,,6.0,,KG,19.124,19.7,Barre
625209,ROND SERRURIER EN BARRES S235/S275 D 24,,,6.0,,KG,21.18,23.72,Barre
70743,ROND SERRURIER EN BARRES S235/S275 D 25,,,6.0,,KG,24.944,25.69,Barre
351589,ROND SERRURIER EN BARRES S235/S275 D 30,,,6.0,,KG,35.2,39.78,Barre
70744,ROND SERRURIER EN BARRES S235/S275 D 40,,,6.0,,KG,63.065,64.96,Barre
