default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71241,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 0,6",,,10.0,,KG,10.0,15.6,TÔLE
71242,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 0,8",,,13.0,,KG,13.0,18.2,TÔLE
71243,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 1,0",,,16.0,,KG,16.0,21.92,TÔLE
489981,"TÔLE GALVANISÉ 1500X3000 ÉPAISSEUR 1,0",,,37.0,,KG,37.0,49.95,TÔLE
71244,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 1,2",,,20.0,,KG,20.0,27.0,TÔLE
71246,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 1,5",,,24.0,,KG,24.0,32.88,TÔLE
71247,"TÔLE GALVANISÉ 1250X2500 ÉPAISSEUR 1,5",,,38.0,,KG,38.0,51.3,TÔLE
71250,"TÔLE GALVANISÉ 1500X3000 ÉPAISSEUR 1,5",,,55.0,,KG,55.0,74.25,TÔLE
71248,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 2,0",,,33.0,,KG,33.0,43.89,TÔLE
71249,"TÔLE GALVANISÉ 1250X2500 ÉPAISSEUR 2,0",,,51.0,,KG,51.0,67.83,TÔLE
71251,"TÔLE GALVANISÉ 1500X3000 ÉPAISSEUR 2,0",,,73.0,,KG,73.0,96.36,TÔLE
71254,"TÔLE GALVANISÉ 1000X2000 ÉPAISSEUR 3,0",,,49.0,,KG,49.0,65.17,TÔLE
71255,"TÔLE GALVANISÉ 1250X2500 ÉPAISSEUR 3,0",,,77.0,,KG,77.0,102.41,TÔLE
71257,"TÔLE GALVANISÉ 1500X3000 ÉPAISSEUR 3,0",,,110.0,,KG,110.0,146.3,TÔLE
