default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71666,TUBE SOUDÉS RECTANGULAIRE 30X20X2,0.03,0.02,6,0.002,ML,6,10.64,Tube
71668,TUBE SOUDÉS RECTANGULAIRE 35X20X2,0.035,0.02,6,0.002,ML,6,12.18,Tube
71670,TUBE SOUDÉS RECTANGULAIRE 40X20X2,0.04,0.02,6,0.002,ML,6,12.85,Tube
831015,TUBE SOUDÉS RECTANGULAIRE 40X25X2,0.04,0.025,6,0.002,ML,6,16.48,Tube
71672,TUBE SOUDÉS RECTANGULAIRE 40X27X2,0.04,0.027,6,0.002,ML,6,15.19,Tube
71674,TUBE SOUDÉS RECTANGULAIRE 50X30X2,0.05,0.03,6,0.002,ML,6,16.05,Tube
71676,TUBE SOUDÉS RECTANGULAIRE 60X30X2,0.06,0.03,6,0.002,ML,6,20.05,Tube
71678,TUBE SOUDÉS RECTANGULAIRE 60X40X2,0.06,0.04,6,0.002,ML,6,21.89,Tube
71680,TUBE SOUDÉS RECTANGULAIRE 80X40X2,0.08,0.04,6,0.002,ML,6,27.06,Tube
608102,TUBE SOUDÉS RECTANGULAIRE 100X20X2,0.1,0.02,6,0.002,ML,6,29.15,Tube
71683,TUBE SOUDÉS RECTANGULAIRE 100X50X2,0.1,0.05,6,0.002,ML,6,35.06,Tube
71757,TUBE SOUDÉS RECTANGULAIRE 50X30X3,0.05,0.03,6,0.003,ML,6,23.49,Tube
71758,TUBE SOUDÉS RECTANGULAIRE 60X30X3,0.06,0.03,6,0.003,ML,6,27.12,Tube
71760,TUBE SOUDÉS RECTANGULAIRE 60X40X3,0.06,0.04,6,0.003,ML,6,29.77,Tube
71763,TUBE SOUDÉS RECTANGULAIRE 70X35X3,0.07,0.035,6,0.003,ML,6.1,33.12,Tube
71766,TUBE SOUDÉS RECTANGULAIRE 80X40X3,0.08,0.04,6,0.003,ML,6,36.72,Tube
71768,TUBE SOUDÉS RECTANGULAIRE 80X50X3,0.08,0.05,6,0.003,ML,6,40.78,Tube
71774,TUBE SOUDÉS RECTANGULAIRE 100X50X3,0.1,0.05,6,0.003,ML,6,46.8,Tube
420753,TUBE SOUDÉS RECTANGULAIRE 100X50X3,0.1,0.05,12.15,0.003,ML,12.2,92.84,Tube
71781,TUBE SOUDÉS RECTANGULAIRE 120X60X3,0.12,0.06,6,0.003,ML,6,57.13,Tube
71795,TUBE SOUDÉS RECTANGULAIRE 140X60X3,0.14,0.06,6,0.003,ML,6,63.9,Tube
71793,TUBE SOUDÉS RECTANGULAIRE 140X80X3,0.14,0.08,6,0.003,ML,6,74.05,Tube
71796,TUBE SOUDÉS RECTANGULAIRE 150X50X3,0.15,0.05,6,0.003,ML,6,65.93,Tube
71802,TUBE SOUDÉS RECTANGULAIRE 150X100X3,0.15,0.1,6,0.003,ML,6,92.68,Tube
71732,TUBE SOUDÉS RECTANGULAIRE 180X80X3,0.18,0.08,6,0.003,ML,6,90.96,Tube
