default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71541,"TUBE GAZ SOUDÉS 13,5 X 2,0 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,35.56,Tube
71542,"TUBE GAZ SOUDÉS 17,2 X 2,0 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,9.1,Tube
71543,"TUBE GAZ SOUDÉS 21,3 X 2,3 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,12.35,Tube
71544,"TUBE GAZ SOUDÉS 26,9 X 2,3 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,14.24,Tube
71545,"TUBE GAZ SOUDÉS 33,7 X 2,9 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,20.54,Tube
71546,"TUBE GAZ SOUDÉS 42,4 X 2,9 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,26.33,Tube
71547,"TUBE GAZ SOUDÉS 48,3 X 2,9 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,32.7,Tube
71548,"TUBE GAZ SOUDÉS 60,3 X 3,2 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,41.47,Tube
71549,"TUBE GAZ SOUDÉS 70,0 X 3,2 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,48.88,Tube
71550,"TUBE GAZ SOUDÉS 76,1 X 3,2 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,52.72,Tube
71551,"TUBE GAZ SOUDÉS 88,9 X 3,2 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,63.18,Tube
71552,"TUBE GAZ SOUDÉS 101,6 X 3,6 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,83.72,Tube
71553,"TUBE GAZ SOUDÉS 114,3 X 3,6 NBL SERIE LÉGÈRE",,,6.4,,ML,6.5,109.72,Tube
