default_code,name,length,width,height,thickness,uom_id,uom_po_id
"71666","30x20 mm x 2 mm",6.15,0.030,0.020,0.002,29,30
"71668","35x20 mm x 2 mm",6.15,0.035,0.020,0.002,29,30
"71670","40x20 mm x 2 mm",6.15,0.040,0.020,0.002,29,30
"831015","40x25 mm x 2 mm",6.15,0.040,0.025,0.002,29,30
"71672","40x27 mm x 2 mm",6.15,0.040,0.027,0.002,29,30
"71674","50x30 mm x 2 mm",6.15,0.050,0.030,0.002,29,30
"71676","60x30 mm x 2 mm",6.15,0.060,0.030,0.002,29,30
"71678","60x40 mm x 2 mm",6.15,0.060,0.040,0.002,29,30
"71680","80x40 mm x 2 mm",6.15,0.080,0.040,0.002,29,30
"608102","100x20 mm x 2 mm",6.15,0.100,0.020,0.002,29,30
"71683","100x50 mm x 2 mm",6.15,0.100,0.050,0.002,29,30
"71757","50x30 mm x 3 mm",6.15,0.050,0.030,0.003,29,30
"71758","60x30 mm x 3 mm",6.15,0.060,0.030,0.003,29,30
"71760","60x40 mm x 3 mm",6.15,0.060,0.040,0.003,29,30
"71763","70x35 mm x 3 mm",6.15,0.070,0.035,0.003,29,30
"71766","80x40 mm x 3 mm",6.15,0.080,0.040,0.003,29,30
"71768","80x50 mm x 3 mm",6.15,0.080,0.050,0.003,29,30
"71774","100x50 mm x 3 mm",6.15,0.100,0.050,0.003,29,30
"71781","120x60 mm x 3 mm",6.15,0.120,0.060,0.003,29,30
"71795","140x60 mm x 3 mm",6.15,0.140,0.060,0.003,29,30
"71793","140x80 mm x 3 mm",6.15,0.140,0.080,0.003,29,30
"71796","150x50 mm x 3 mm",6.15,0.150,0.050,0.003,29,30
"71802","150x100 mm x 3 mm",6.15,0.150,0.100,0.003,29,30
"71732","180x80 mm x 3 mm",6.15,0.180,0.080,0.003,29,30
