default_code,name,width,height,thickness,length,diameter
"751586","40X40x1,5 mm",0.04,0.04,0.0015,6.15,0.000
"71648","20X20x2 mm",0.02,0.02,0.002,6.15,0.000
"71649","25X25x2 mm",0.025,0.025,0.002,6.15,0.000
"71651","30X30x2 mm",0.03,0.03,0.002,6.15,0.000
"71653","35X35x2 mm",0.035,0.035,0.002,6.15,0.000
"71655","40X40x2 mm",0.04,0.04,0.002,6.15,0.000
"71657","45X45x2 mm",0.045,0.045,0.002,6.15,0.000
"71659","50X50x2 mm",0.05,0.05,0.002,6.15,0.000
"71661","60X60x2 mm",0.06,0.06,0.002,6.15,0.000
"71663","70X70x2 mm",0.07,0.07,0.002,6.15,0.000
"71664","80X80x2 mm",0.08,0.08,0.002,6.15,0.000
"379459","100X100x2 mm",0.1,0.1,0.002,6.15,0.000
"71714","30X30x3 mm",0.03,0.03,0.003,6.15,0.000
"71715","40X40x3 mm",0.04,0.04,0.003,6.15,0.000
"71717","50X50x3 mm",0.05,0.05,0.003,6.15,0.000
"71719","60X60x3 mm",0.06,0.06,0.003,6.15,0.000
"71721","70X70x3 mm",0.07,0.07,0.003,6.15,0.000
"71723","80X80x3 mm",0.08,0.08,0.003,6.15,0.000
"312662","90X90x3 mm",0.09,0.09,0.003,6.15,0.000
"71727","100X100x3 mm",0.1,0.1,0.003,6.15,0.000
"71729","120X120x3 mm",0.12,0.12,0.003,6.15,0.000
"71730","150X150x3 mm",0.15,0.15,0.003,6.15,0.000
