default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
601403,"POUTRELLE UPE 80/6,20M",,,6.0,,KG,50.02,73.03,Barre
492444,"POUTRELLE UPE 100/6,20M",,,6.0,,KG,62.29,67.27,Barre
256671,"POUTRELLE UPE 120/6,20M",,,6.0,,KG,76.738,0.0,Barre
245932,"POUTRELLE UPE 120/12,20M",,,12.0,,KG,152.218,222.24,Barre
256672,"POUTRELLE UPE 140/6,20M",,,6.0,,KG,91.988,0.0,Barre
245933,"POUTRELLE UPE 140/12,20M",,,12.0,,KG,182.468,0.0,Barre
256673,"POUTRELLE UPE 160/6,20M",,,6.0,,KG,107.848,176.87,Barre
245934,"POUTRELLE UPE 160/12,20M",,,12.0,,KG,213.928,299.5,Barre
256674,"POUTRELLE UPE 180/6,20M",,,6.0,,KG,124.98,204.97,Barre
245929,"POUTRELLE UPE 180/12,20M",,,12.0,,KG,247.929,406.6,Barre
256675,"POUTRELLE UPE 200/6,20M",,,6.0,,KG,144.631,0.0,Barre
245930,"POUTRELLE UPE 200/12,20M",,,12.0,,KG,286.9,470.52,Barre
