default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
71088,"POUTRELLE UPN 80/6,20M",,,6.0,,KG,54.812,54.81,Barre
71090,"POUTRELLE UPN 100/6,20M",,,6.0,,KG,67.246,67.25,Barre
71091,"POUTRELLE UPN 100/12,20M",,,12.0,,KG,133.39,138.73,Barre
71093,"POUTRELLE UPN 120/6,20M",,,6.0,,KG,85.01,85.01,Barre
71094,"POUTRELLE UPN 120/12,20M",,,12.0,,KG,168.626,168.63,Barre
71096,"POUTRELLE UPN 140/6,20M",,,6.0,,KG,101.504,101.5,Barre
71097,"POUTRELLE UPN 140/12,20M",,,12.0,,KG,201.344,215.44,Barre
71099,"POUTRELLE UPN 160/6,20M",,,6.0,,KG,119.267,132.39,Barre
71098,"POUTRELLE UPN 160/12,20M",,,12.0,,KG,236.579,267.33,Barre
71102,"POUTRELLE UPN 180/6,20M",,,6.0,,KG,139.568,154.92,Barre
71103,"POUTRELLE UPN 180/12,20M",,,12.0,,KG,276.848,307.3,Barre
71105,"POUTRELLE UPN 200/6,20M",,,6.0,,KG,160.503,178.16,Barre
71106,"POUTRELLE UPN 200/12,20M",,,12.0,,KG,318.375,353.4,Barre
71108,"POUTRELLE UPN 220/12,20M",,,12.0,,KG,369.97,410.67,Barre
71109,"POUTRELLE UPN 240/6,20M",,,6.0,,KG,210.621,235.9,Barre
678522,"POUTRELLE UPN 240/12,20M",,,12.0,,KG,421.242,471.79,Barre
