prix,default_code,section,epaisseur
0.0,751586,40X40 mm ,"1,5 mm"
0.0,71648,20X20 mm ,"2,0 mm"
0.0,71649,25X25 mm ,"2,0 mm"
0.0,71651,30X30 mm ,"2,0 mm"
0.0,71653,35X35 mm ,"2,0 mm"
0.0,71655,40X40 mm ,"2,0 mm"
0.0,71657,45X45 mm ,"2,0 mm"
0.0,71659,50X50 mm ,"2,0 mm"
0.0,71661,60X60 mm ,"2,0 mm"
0.0,71663,70X70 mm ,"2,0 mm"
0.0,71664,80X80 mm ,"2,0 mm"
0.0,379459,100X100 mm ,"2,0 mm"
0.0,71714,30X30 mm ,"3,0 mm"
0.0,71715,40X40 mm ,"3,0 mm"
0.0,71717,50X50 mm ,"3,0 mm"
0.0,71719,60X60 mm ,"3,0 mm"
0.0,71721,70X70 mm ,"3,0 mm"
0.0,71723,80X80 mm ,"3,0 mm"
0.0,71726,80X80 mm ,"3,0 mm"
0.0,312662,90X90 mm ,"3,0 mm"
0.0,71727,100X100 mm ,"3,0 mm"
0.0,295060,100X100 mm ,"3,0 mm"
0.0,71729,120X120 mm ,"3,0 mm"
0.0,71730,150X150 mm ,"3,0 mm"
0.0,660115,45X45 mm ,"4,0 mm"
0.0,71733,50X50 mm ,"4,0 mm"
0.0,71735,60X60 mm ,"4,0 mm"
0.0,71737,70X70 mm ,"4,0 mm"
0.0,71739,80X80 mm ,"4,0 mm"
0.0,71741,100X100 mm ,"4,0 mm"
0.0,71744,120X120 mm ,"4,0 mm"
0.0,71746,150X150 mm ,"4,0 mm"
0.0,71747,200X200 mm ,"4,0 mm"
0.0,660118,40X40 mm ,"5,0 mm"
0.0,71748,50X50 mm ,"5,0 mm"
0.0,71750,60X60 mm ,"5,0 mm"
0.0,455385,70X70 mm ,"5,0 mm"
0.0,71751,80X80 mm ,"5,0 mm"
0.0,71753,100X100 mm ,"5,0 mm"
0.0,71731,200X200 mm ,"3,0 mm"
